рубрика,исполнитель,песня,имя,ссылка,доп аккорды
советские песни,"из к/ф ""17 мгновений весны""","грусть моя, ты покинь меня",иосиф кобзон,https://amdm.ru/akkordi/pesni_iz_kino_i_multfilmov/102745/pesnya_o_dalekoy_rodine/,
советские песни,"из к/ф ""17 мгновений весны""",мгновения,иосиф кобзон,https://amdm.ru/akkordi/pesni_iz_kino_i_multfilmov/14906/mgnoveniya_kf_17_mgnoveniy_vesni/,
советские песни,"из к/ф ""большое космическое приключение""",я тебе конечно верю ,,https://pro-gitaru.ru/ya-tebe-konechno-veryu/,
советские песни,"из к/ф ""бриллиантовая рука""",остров невезения,андрей миронов,https://amdm.ru/akkordi/andrei_mironov/23982/ostrov_nevezeniya/,
советские песни,"из к/ф ""бриллиантовая рука""",песня про зайцев (а нам всё равно),юрий никулин,https://amdm.ru/akkordi/pesni_iz_kino_i_multfilmov/14760/pesenka_pro_zaycev_kf_brilliantovaya_ruka/,
советские песни,"из к/ф ""вам и не снилось""",последняя поэма (смерть побеждающий вечный закон),,https://amdm.ru/akkordi/alla/114119/poslednyaya_poema/,
советские песни,"из к/ф ""весна на заречной улице""","когда весна придёт, не знаю (весна на заречной улице)",,"https://amdm.ru/akkordi/pesni_iz_kino_i_multfilmov/106761/vesna_na_zarechnoy_ulice/#:~:text=Am%20Em%20H%D0%BE%20%D1%82%D1%8B%20%D0%BC%D0%BD%D0%B5%2C%20%D1%83%D0%BB%D0%B8%D1%86%D0%B0%20%D1%80%D0%BE%D0%B4%D0%BD%D0%B0%D1%8F%2C%20B7%20Em%20%D0%98,B7%20Em%20%D0%A1%D0%B5%D0%BC%D1%8C%D1%8F%20%D0%B8%D1%81%D0%BF%D1%8B%D1%82%D0%B0%D0%BD%D0%BD%D1%8B%D1%85%20%D0%B4%D1%80%D1%83%D0%B7%D0%B5%D0%B9.",
советские песни,"из к/ф ""гостья из будущего""",прекрасное далёко,,https://amdm.ru/akkordi/pesni_iz_kino_i_multfilmov/3018/prekrasnoe_daleko_kf_gostya_iz_buduschego/,
советские песни,"из к/ф ""девчата""",старый клён,,https://amdm.ru/akkordi/pesni_iz_kino_i_multfilmov/14596/stariy_klen_kf_devchata/,
советские песни,"из к/ф ""дом, в котором живу""",тишина за рогожской заставою,,"https://amdm.ru/akkordi/pesni_iz_kino_i_multfilmov/132048/tishina_za_rogozhskoy_zastavoy_hf_dom_v_kotorom_ya_zhivu/#:~:text=Am%20Em%20F%20%D0%A2%D0%B8%D1%88%D0%B8%D0%BD%D0%B0%20%D0%B7%D0%B0,B7%20E7%20%D0%A1%D0%B5%D0%BC%D0%B8%D1%81%D1%82%D1%80%D1%83%D0%BD%D0%BD%D0%BE%D0%B9%20%D0%B3%D0%B8%D1%82%D0%B0%D1%80%D1%8B%20%D0%BC%D0%BE%D0%B5%D0%B9!",
зарубежное,"из к/ф ""звуки музыки""",favourite things,,https://amdm.ru/akkordi/pesni_iz_kino_i_multfilmov/139577/my_favorite_things_ost_sound_of_music/,
советские песни,"из к/ф ""иван васильевич меняет профессию""",звенит январская вьюга,нина бродская,https://amdm.ru/akkordi/pesni_iz_kino_i_multfilmov/15365/zvenit_yanvarskaya_vyga_kf_ivan_vasilevich_menyaet_professiy/,
советские песни,"из к/ф ""иван васильевич меняет профессию""",разговор со счастьем (вдруг как в сказке скрипнула дверь),,"https://amdm.ru/akkordi/pesni_iz_kino_i_multfilmov/14679/razgovor_so_schastem_kf_ivan_vasilevich_menyaet_professiy/#:~:text=Am%20E7%20%D0%9F%D1%80%D0%B8%D0%BF%D0%B5%D0%B2%3A%20%D0%92%D0%B4%D1%80%D1%83%D0%B3%2C%20%D0%BA%D0%B0%D0%BA,%D0%B7%D1%80%D1%8F%2C%20Am%20%D0%9D%D0%B5%20%D0%BD%D0%B0%D0%BF%D1%80%D0%B0%D1%81%D0%BD%D0%BE%20%D0%B1%D1%8B%D0%BB%D0%BE!",
советские песни,"из к/ф ""ирония судьбы""",ария московского гостя (если у вас нету тети),,"https://amdm.ru/akkordi/nikitin_sergei/139269/esli_u_vas_netu_teti/#:~:text=Am%20E7%20Am%20%D0%95%D1%81%D0%BB%D0%B8%20%D1%83%20%D0%B2%D0%B0%D1%81%20%D0%BD%D0%B5%D1%82%D1%83%20%D1%82%D0%B5%D1%82%D0%B8%2C%20Dm%20G7,C%20A%20%D1%82%D1%80%D1%83%D0%B1%D0%B0%D1%87%20%D0%B2%D1%8B%D0%B4%D1%83%D0%B2%D0%B0%D0%B5%D1%82%20%D0%BC%D0%B5%D0%B4%D1%8C.",
советские песни,"из к/ф ""ирония судьбы""","мне нравится, что вы больны не мной",,https://amdm.ru/akkordi/marina_cvetaeva/186652/mne_nravitsya_chto_vi_bolni_ne_mnoy/,
советские песни,"из к/ф ""ирония судьбы""",на тихорецкую состав отправится,,https://amdm.ru/akkordi/pesni_iz_kino_i_multfilmov/14862/na_tihoreckuy_kf_ironiya_sudbi_ili_s_legkim_parom/,
советские песни,"из к/ф ""ирония судьбы""",я спросил у ясеня,,https://amdm.ru/akkordi/nikitin_sergei/89389/ya_sprosil_u_yasenya/,
советские песни,"из к/ф ""кавказская пленница""",песенка о медведях (где-то на белом свете),,https://amdm.ru/akkordi/pesni_iz_kino_i_multfilmov/99660/pesenka_o_medvedyah_kf_kavkazskaya_plennica/,
советские песни,"из к/ф ""карнавал""","позвони мне, позвони",,https://amdm.ru/akkordi/pesni_iz_kino_i_multfilmov/14725/pozvoni_mne_pozvoni_kf_karnaval/,
детские песни,"из к/ф ""красная шапочка""",песня звездочета,,https://amdm.ru/akkordi/detskie_pesni/172710/pesenka_zvezdocheta_iz_kf_krasnaya_shapochka/,
детские песни,"из к/ф ""красная шапочка""",песня красной шапочки (если долго-долго-долго),,https://amdm.ru/akkordi/pesni_iz_kino_i_multfilmov/14767/pesenka_krasnoy_shapochki_kf_pro_krasnuy_shapochku/,
детские песни,"из к/ф ""маленький мук""",дорога добра (спроси у жизни строгой),,https://amdm.ru/akkordi/pesni_iz_kino_i_multfilmov/94949/doroga_dobra_iz_kf_priklycheniya_malenkogo_muka/,
советские песни,"из к/ф ""мэри поппинс, до свидания""",ветер перемен,,https://amdm.ru/akkordi/pesni_iz_kino_i_multfilmov/89656/veter_peremen_kf_meri_poppins_do_svidaniya/,
детские песни,"из к/ф ""мэри поппинс, до свиданья""",33 коровы,,https://amdm.ru/akkordi/pesni_iz_kino_i_multfilmov/102185/33_korovi_hf_meri_poppins_do_svidanya/,
детские песни,"из к/ф ""мэри поппинс, до свиданья""",леди совершенство,,"https://amdm.ru/akkordi/pesni_iz_kino_i_multfilmov/176084/ledi_sovershenstvo_iz_kf_meri_poppins_do_svidaniya/#:~:text=Em%20Am%20Dm7%20G%20%D0%9C%D1%8D,E%20%D0%97%D0%BD%D0%B0%D1%82%D1%8C%2C%20%D1%87%D1%82%D0%BE%20%D1%8F%20%D0%B8%D0%B4%D0%B5%D0%B0%D0%BB.",
детские песни,"из к/ф ""мэри поппинс, до свиданья""",непогода,,https://amdm.ru/akkordi/pesni_iz_kino_i_multfilmov/14739/nepogoda_kf_meri_poppins_do_svidanya/,
советские песни,"из к/ф ""неуловимые мстители""",песня неуловимых мстителей (бьют свинцовые ливни...),,https://amdm.ru/akkordi/pesni_iz_kino_i_multfilmov/89119/pesnya_neulovimih_mstiteley_kf_neulovimie_mstiteli/,
советские песни,"из к/ф ""неуловимые мстители""",песня яшки-цыгана (спрячь за решётку),,https://amdm.ru/akkordi/vasiliy_vasilev/131575/pesnya_yashki_cigana/,
советские песни,"из к/ф ""неуловимые мстители""",погоня (в горячей крови),,https://amdm.ru/akkordi/pesni_iz_kino_i_multfilmov/89125/pogonya_kf_novie_priklycheniya_neulovimih/,
советские песни,"из к/ф ""операция ы и другие приключения шурика""","постой, паровоз",,https://amdm.ru/akkordi/pesni_iz_kino_i_multfilmov/130120/postoy_parovoz_ost_operaciya_i/,
детские песни,"из к/ф ""приключения электроника""",до чего дошёл прогресс,,"https://amdm.ru/akkordi/pesni_iz_kino_i_multfilmov/15353/do_chego_doshel_progress_kf_priklycheniya_elektronika/#:~:text=Am%20%D0%94%D0%BE%20%D1%87%D0%B5%D0%B3%D0%BE%20%D0%B4%D0%BE%D1%88%D0%B5%D0%BB%20%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B5%D1%81%D1%81%2C%20Dm%20%D0%91%D1%8B%D0%BB%D0%BE%20%D0%B2%D1%80%D0%B5%D0%BC%D0%B5%D0%BD%D0%B8%20%D0%B2%20%D0%BE%D0%B1%D1%80%D0%B5%D0%B7,%D0%92%D0%BA%D0%B0%D0%BB%D1%8B%D0%B2%D0%B0%D1%8E%D1%82%20%D1%80%D0%BE%D0%B1%D0%BE%D1%82%D1%8B%2C%20%D0%B0%20%D0%BD%D0%B5%20%D1%87%D0%B5%D0%BB%D0%BE%D0%B2%D0%B5%D0%BA.",
детские песни,"из к/ф ""приключения электроника""",крылатые качели,,https://amdm.ru/akkordi/pesni_iz_kino_i_myltfilmov/15374/krilatie_kacheli_kf_priklycheniya_elektronika/,
детские песни,"из к/ф ""приключения электроника""","ты человек ты же сильный, смелый",,https://amdm.ru/akkordi/detskie_pesni/100878/ti_chelovek/,
советские песни,"из к/ф ""пять вечеров""",губы окаянные,,https://amdm.ru/akkordi/ulii_kim/131660/gubi_okayannie/,
советские песни,"из к/ф ""русское поле"" ","ой, мамочка",,"https://amdm.ru/akkordi/narodnye_i_zastolnye_pesni/187377/ah_mamochka/#:~:text=%D1%82%D1%8B%20%D0%B1%D1%8B%D0%BB%D0%B0%20%D0%BF%D1%80%D0%B0%D0%B2%D0%B0.-,Am%20%D0%90%D1%85%2C%20%D0%BC%D0%B0%D0%BC%D0%BE%D1%87%D0%BA%D0%B0%2C%20%D0%BD%D0%B0%20%D1%81%D0%B0%D0%BD%D0%BE%D1%87%D0%BA%D0%B0%D1%85%20G%20%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%B0%D1%81%D1%8C%20%D1%8F%20%D0%B2%D0%B5%D0%B7%D0%B4%D0%B5%2C,%D0%9A%D0%B0%D0%BA%20%D0%B6%D0%B5%20%D1%82%D1%8B%20%D0%B1%D1%8B%D0%BB%D0%B0%20%D0%BF%D1%80%D0%B0%D0%B2%D0%B0.",
разное,"из к/ф ""цвет черемухи""",я назову тебя зоренькой,,https://amdm.ru/akkordi/igor_nikolaev/107208/ya_nazovu_tebya_zorenkoy/,
советские песни,"из к/ф ""чародеи""",снежинка,,https://amdm.ru/akkordi/charodei/5911/snezhinka/,
советские песни,"из к/ф ""чародеи""",три белых коня,,https://amdm.ru/akkordi/pesni_iz_kino_i_multfilmov/14569/tri_belih_konya_kf_charodei/,
детские песни,"из м/ф ""бременские музыканты""","говорят, мы бяки-буки",,https://amdm.ru/akkordi/pesni_iz_kino_i_myltfilmov/113840/govoryat_mi_byaki_buki_mf_bremenskie_muzikanti/,
детские песни,"из м/ф ""бременские музыканты""",ничего на свете лучше нету,,https://amdm.ru/akkordi/pesni_iz_kino_i_multfilmov/174801/nichego_na_svete_luchshe_netu_mf_bremenskie_muzikanti/,
советские песни,"из м/ф ""бременские музыканты""",серенада трубадура (луч солнца золотого),муслим магомаев,https://amdm.ru/akkordi/gennadiy_gladkov/91258/luch_solnca_zolotogo/,
детские песни,"из м/ф ""голубой щенок""",ария голубого щенка (неужели из-за масти),,https://amdm.ru/akkordi/pesni_iz_kino_i_multfilmov/94460/pesnya_golubogo_schenka/,
детские песни,"из м/ф ""голубой щенок""",песня кота и пирата (я и ты такие разные),,https://meddiator.ru/pesnya-kota-i-pirata.html,
детские песни,"из м/ф ""голубой щенок""",песня рыбы-пилы ,,https://amdm.ru/akkordi/aleksandr_gradskiy/161577/pesnya_ribi_pili/,
детские песни,"из м/ф ""крокодил гена""",голубой вагон (медленно минуты уплывают в даль),,https://www.5lad.ru/akkordy/detskie-pesni/goluboj-vagon,
детские песни,"из м/ф ""крокодил гена""",песня крокодила гены (пусть бегут неуклюже),,https://3akkorda.net/pust-begut-neuklyuzhe/,
детские песни,"из м/ф ""крокодил гена""",песня чебурашки ,,https://amdm.ru/akkordi/detskie_pesni/148149/pro_cheburashku/,
советские песни,"из м/ф ""крошка енот""",улыбка (от улыбки станет всем светлей),,https://amdm.ru/akkordi/pesni_iz_multfilmov/135448/ot_ulibki/,
советские песни,"из м/ф ""трям здравствуйте""","облака, белогривые лошадки",,https://amdm.ru/akkordi/pesni_iz_kino_i_multfilmov/23146/oblaka_mf_ezhik_i_medvezhonok/,
зарубежное,"из рок-оперы ""иисус христос суперзвезда""","i don't know, how to love him",,https://mytabs.ru/akkordy/h/helen-reddy/i-dont-know-how-to-love-him-2_188019.html,
зарубежное,илвис,what does the fox say?,,https://amdm.ru/akkordi/ylvis/141701/what_does_the_fox_say/,
советские песни,к/ф коллеги,палуба ,,https://amdm.ru/akkordi/vladimir_markin/128002/paluba/,
советские песни,кельми,замыкая круг,крис,https://amdm.ru/akkordi/raznye_pesni/1035/zamikaya_krug/,
русский рок,кино,алюминевые огурцы,,https://www.5lad.ru/akkordy/kino/alyuminievye-ogurtsy,
русский рок,кино,бездельник #1,,https://chorder.ru/songs/kino/27-bezdelnik-akkordy,
русский рок,кино,"видели ночь, гуляли всю ночь до утра",,https://akkords.pro/songs/kino/videli-noch/,
русский рок,кино,восьмиклассница,,https://www.5lad.ru/akkordy/kino/vosmiklassnitsa,
русский рок,кино,группа крови,,https://www.5lad.ru/akkordy/kino/gruppa-krovi,
русский рок,кино,звезда по имени солнце,,https://www.5lad.ru/akkordy/kino/zvezda-po-imeni-solntse,
русский рок,кино,кукушка,,https://www.5lad.ru/akkordy/kino/kukushka,
русский рок,кино,мама-анархия,,https://www.5lad.ru/akkordy/kino/mama-anarkhiya,
русский рок,кино,пачка сигарет,,https://www.5lad.ru/akkordy/kino/pachka-sigaret,
русский рок,кино,перемен,,https://www.5lad.ru/akkordy/kino/khochu-peremen,
русская поп-музыка,киркоров,жестокая любовь,филипп,https://amdm.ru/akkordi/filipp_kirkorov/23790/zhestokaya_lybov/,
русская поп-музыка,киркоров,просто подари,филипп,https://amdm.ru/akkordi/filipp_kirkorov/93814/prosto_podari/,
русская поп-музыка,киркоров,"снег (если хочешь идти, иди)",филипп,https://amdm.ru/akkordi/filipp_kirkorov/100543/sneg/,
русская поп-музыка,киркоров,цвет настроения синий,филипп,https://amdm.ru/akkordi/filipp_kirkorov/163782/cvet_nastroeniya_siniy/,
зарубежное,кисс,i was made for loving you baby,,https://amdm.ru/akkordi/kiss/137579/i_was_made_for_lovin_you/,
русская поп-музыка,колибри,жёлтый лист осенний,,https://amdm.ru/akkordi/kolibri/3860/zheltiy_list_osenniy/,
русская поп-музыка,корнелюк,"город, которого нет (там для меня горит очаг)",игорь,"https://amdm.ru/akkordi/igor_korneluk/4459/gorod_kotorogo_net_kf_banditskiy_peterburg/#:~:text=%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%2C%20%D0%BA%D0%BE%D1%82%D0%BE%D1%80%D0%BE%D0%B3%D0%BE%20%D0%BD%D0%B5%D1%82.-,Chorus%3A%20Em%20Am%20%D0%A2%D0%B0%D0%BC%20%D0%B4%D0%BB%D1%8F%20%D0%BC%D0%B5%D0%BD%D1%8F%20%D0%B3%D0%BE%D1%80%D0%B8%D1%82%20%D0%BE%D1%87%D0%B0%D0%B3%2C%20Am%20(,%D0%98%20%D1%8D%D1%82%D0%BE%D1%82%20%D1%88%D0%B0%D0%B3%20%D0%B4%D0%BB%D0%B8%D0%BD%D0%BD%D0%B5%D0%B5%20%D0%B6%D0%B8%D0%B7%D0%BD%D0%B8.",
русский рок,Король и шут,Кукла колдуна,,https://amdm.ru/akkordi/korol_i_shut/23540/kukla_kolduna/,
русский рок,Король и шут,Прыгну со скалы,,https://amdm.ru/akkordi/korol_i_shut/100897/prignu_so_skali/,
русская поп-музыка,костюшкин,"женщина, я не танцую",стас,https://amdm.ru/akkordi/a_dessa/107150/zhenschini_ya_ne_tancuy/,
русская поп-музыка,крем сода,никаких больше вечеринок,,https://amdm.ru/akkordi/cream_soda/169611/nikakih_bolshe_vecherinok/,
русская поп-музыка,крид (feat. molly),если ты меня не любишь,егор,https://amdm.ru/akkordi/egor_krid/161553/esli_ti_menya_ne_lybish_ft_molly/,
советские песни,кристаллинская,нежность (опустела без тебя земля),майя,https://amdm.ru/akkordi/anna_german/162417/nezhnost/,
советские песни,кристаллинская,первые шаги (топ-топ топает малыш),майя,https://www.oduvanchik.net/view_song.php?id=15092,
советские песни,кристаллинская,царевна-несмеяна (ты стоишь у окна),майя,https://amdm.ru/akkordi/vladimir_markin/1439/carevna_nesmeyana/,
русская поп-музыка,ласковый май,седая ночь,,https://amdm.ru/akkordi/laskovii_mai/125712/sedaya_noch/,
советские песни,лейся песня,качается вагон,виа,https://amdm.ru/akkordi/vacheslav_dobrinin/115199/kachaetsya_vagon/,
русская поп-музыка,лель,мой мармеладный (попробуй джага-джага),катя,https://amdm.ru/akkordi/kata_lel/13505/moy_marmeladniy/,
русская поп-музыка,лель,муси-пуси,катя,https://amdm.ru/akkordi/kata_lel/102733/musi_pusi/,
русский рок,Ленинград ,www ,,https://amdm.ru/akkordi/leningrad/90038/www/,
русская поп-музыка,леонидов,девочка-виденье (я обернулся посмотреть),максим,https://amdm.ru/akkordi/maksim_leonidov/6112/devochka_videne/,
русская поп-музыка,леонтьев,дельтаплан,валерий,https://amdm.ru/akkordi/leontev_valerii/101103/polyot_na_deltaplane/,
русская поп-музыка,леонтьев,ярмарки-краски,валерий,https://amdm.ru/akkordi/leontev_valerii/120161/yarmarki_kraski/,
русская поп-музыка,леприконсы,"хали-гали, паратрупер",,https://amdm.ru/akkordi/leprikonsi/5120/hali_gali_paratruper/,
русская поп-музыка,лепс,рюмка водки,григорий,https://amdm.ru/akkordi/grigoriy_leps/90309/rymka_vodki_na_stole/,
русская поп-музыка,лепс (feat. валерий меладзе),обернитесь,григорий,https://amdm.ru/akkordi/grigoriy_leps/102822/obernites_ft_valeriy_meladze/,
русский рок,летов,про дурачка,егор,https://amdm.ru/akkordi/grazhdanskaya_oborona/177173/pro_durachka/,
советские песни,лещенко,ах эти чёрные глаза,пётр,https://amdm.ru/akkordi/petr_leschenko/160385/chernie_glaza/,
советские песни,лещенко,у самовара я и моя маша,пётр ,https://ru.guitarsongs.club/song/35750,
советские песни,лещенко ,"всё, что было",пётр,https://www.ackordofmine.ru/index/pjotr_leshhenko_vsjo_chto_bylo_akkordy_i_tekst_pesni/0-6695,
русская поп-музыка,лоза,плот,юрий,https://amdm.ru/akkordi/urii_loza/138464/plot/,
русская поп-музыка,любэ,берёзы (отчего так в россии),,https://amdm.ru/akkordi/lyubeh/95918/berezi/,
русская поп-музыка,любэ ,комбат,,https://amdm.ru/akkordi/lyubeh/3353/kombat/,
русская поп-музыка,любэ ,конь (выйду ночью),,https://amdm.ru/akkordi/lyubeh/3757/kon/,
советские песни,магомаев,королева красоты,муслим,https://amdm.ru/akkordi/muslim_magomaev/9794/koroleva_krasoti/,
советские песни,магомаев,лучший город земли (песня плывёт),муслим,https://amdm.ru/akkordi/muslim_magomaev/102625/luchshiy_gorod_zemli/,
советские песни,магомаев,"о море, море",муслим,https://amdm.ru/akkordi/myslim_magomaev/135421/o_more_more_sinyaya_vechnost/,
советские песни,макаров,последняя электричка,владимир,https://amdm.ru/akkordi/vladimir_makarov/129216/poslednyaya_elektrichka/,
русская поп-музыка,макsим,вдоль ночных дорог,,https://amdm.ru/akkordi/maksim/101853/znaesh_li_ti/,
русская поп-музыка,макsим,трудный возраст,,https://amdm.ru/akkordi/maksim/161183/trudniy_vozrast/,
русская поп-музыка,маркин,я готов целовать песок,владимир,https://amdm.ru/akkordi/vladimir_markin/608/ya_gotov_celovat_pesok/,
русская поп-музыка,меладзе,красиво ты вошла в мою грешную жизнь,валерий,https://amdm.ru/akkordi/meladze_valerii/5640/krasivo/,
русская поп-музыка,меладзе,"салют, вера!",валерий,https://amdm.ru/akkordi/meladze_valerii/101894/salyt_vera/,
русская поп-музыка,меладзе,самба белого мотылька,валерий,https://amdm.ru/akkordi/meladze_valerii/141579/samba_belogo_motilka/,
детские песни,миансарова,летка-енка (прыг-скок утром на лужок),тамара,https://lyricsworld.ru/Tamara-Miansarova/Letka-enka-645156.html,
советские песни,миансарова,рудерик (рыжик),тамара,https://textypesen.com/tamara-miansarova/ryzhik/,
русская поп-музыка,михаил круг,владимирский централ,михаил ,https://amdm.ru/akkordi/mihail_krug/102195/vladimirskiy_central/,
русская поп-музыка,мугу,чёрные глаза (вспоминаю — умираю),айдамир,https://amdm.ru/akkordi/aydamir_mugu/96677/chyornie_glaza/,
советские песни,мулерман,"хмуриться не надо, лада",вадим,https://www.oduvanchik.net/view_song.php?id=20598,
русская поп-музыка,мумий тролль,владивосток 2000,,https://amdm.ru/akkordi/mumiy_troll/110247/vladivostok_2000/,
русская поп-музыка,мумий тролль,невеста,,https://amdm.ru/akkordi/mumiy_troll/4567/nevesta/,
русская поп-музыка,мумий тролль,утекай,,https://amdm.ru/akkordi/mumiy_troll/3106/utekay/,
русская поп-музыка,мы,возможно (мне придётся убить тебя),,https://amdm.ru/akkordi/mi_gruppa/175627/vozmozhno/,
русская поп-музыка,налич,guitar,пётр,https://amdm.ru/akkordi/petr_nalich/97015/guitar/,
русская поп-музыка,насыров,мальчик хочет в тамбов,марат,https://amdm.ru/akkordi/myrat_nasirov/107305/malchik_hochet_v_tambov/,
русский рок,науменко,"прощай, детка",майк,https://amdm.ru/akkordi/maik_naymenko/105274/proschay_detka/,
русский рок,наутилус помпилиус,"гудбай, америка",,https://amdm.ru/akkordi/bytysov_vacheslav/13392/gud_bay_amerika/,
русский рок,наутилус помпилиус,дыхание,,https://amdm.ru/akkordi/bytysov_vacheslav/107497/dihanie/,
русский рок,наутилус помпилиус,крылья,,https://www.5lad.ru/akkordy/nautilus-pompilius/krylya,
русский рок,наутилус помпилиус,прогулки по воде (видишь там на горе),,https://www.5lad.ru/akkordy/nautilus-pompilius/progulki-po-vode,
русский рок,наутилус помпилиус,скованные одной цепью,,https://www.5lad.ru/akkordy/nautilus-pompilius/skovannye-odnoj-tsepyu,
русский рок,наутилус помпилиус,хлоп-хлоп,,https://www.5lad.ru/akkordy/nautilus-pompilius/khlop-khlop,
русский рок,наутилус помпилиус,я хочу быть с тобой,,https://www.5lad.ru/akkordy/nautilus-pompilius/ya-khochu-byt-s-toboj,
русский рок,ноль,"иду, курю",,https://amdm.ru/akkordi/nol/2706/idu_kury/,
русский рок,ноль,песня о настоящем индейце,,https://amdm.ru/akkordi/nol/12552/pesnya_o_nastoyaschem_indeyce/,
русский рок,ноль,улица ленина,,https://amdm.ru/akkordi/nol/24157/ulica_lenina/,
русский рок,ноль,человек и кошка,,https://amdm.ru/akkordi/nol/93459/chelovek_i_koshka/,
русский рок,ноль,школа жизни,,https://amdm.ru/akkordi/nol/6059/shkola_zhizni/,
русский рок,ноль,я.л.ю.б.л.ю.т.е.б.я,,https://amdm.ru/akkordi/nol/174575/yalyblytebya/,
советские песни,ободзинский,эти глаза напротив,валерий,https://amdm.ru/akkordi/valerii_obodzinskii/157299/eti_glaza_naprotiv/,
русский рок,океан ельзи ,без бою,,https://amdm.ru/akkordi/okean_elzi/91931/bez_boy/,
советские песни,пахоменко,сегодня праздник у девчат,мария,https://pesni.guru/text/%D0%BC%D0%B0%D1%80%D0%B8%D1%8F-%D0%BF%D0%B0%D1%85%D0%BE%D0%BC%D0%B5%D0%BD%D0%BA%D0%BE-%D0%B4%D0%B5%D0%B2%D1%87%D0%B0%D1%82%D0%B0,
советские песни,песняры,беловежская пуща,,https://amdm.ru/akkordi/pesnari/1510/belovezhskaya_puscha/,
зарубежное,пиксис,where is my mind?,the,https://amdm.ru/akkordi/pixies/70865/where_is_my_mind/,
зарубежное,пинк флойд,another brick in the wall (we don't need no education),,https://amdm.ru/akkordi/pink_floyd/17289/another_brick_in_the_wall_pt_2/,
советские песни,пламя,не надо печалиться,виа,https://amdm.ru/akkordi/samocveti/13440/ne_nado_pechalitsya/,
советские песни,поющие гитары,сумерки,виа,https://www.ackordofmine.ru/index/via_pojushhie_gitary_sumerki_pravilnye_akkordy_pesni_tekst_boj_na_gitare/0-4369,
