рубрика,исполнитель,песня,имя,ссылка,доп аккорды
советские песни,утёсов,мишка,леонид,"https://amdm.ru/akkordi/leonid_ytesov/167660/mishka_odessit/#:~:text=Dm%20Am%20%D0%92%D0%B5%D0%B4%D1%8C%20%D1%82%D1%8B%20%D0%BC%D0%BE%D1%80%D1%8F%D0%BA,%D0%9C%D0%BE%D0%BB%D0%BE%D0%B4%D0%B5%D0%BD%D1%8C%D0%BA%D0%B8%D0%B9%20%D0%BF%D0%B0%D1%80%D0%BD%D0%B8%D1%88%D0%BA%D0%B0%20%D0%B2%20%D0%B1%D1%83%D1%88%D0%BB%D0%B0%D1%82%D0%B8%D0%BA%D0%B5%20%D0%BC%D0%BE%D1%80%D1%81%D0%BA%D0%BE%D0%BC.",
советские песни,утёсов,московские окна,леонид,https://amdm.ru/akkordi/raznye_pesni/6054/moskovskie_okna/,
советские песни,утёсов,одесский порт,леонид,https://www.oduvanchik.net/view_song.php?id=8100,
советские песни,утёсов,песня старого извозчика,леонид,https://amdm.ru/akkordi/raznye_pesni/4713/pesnya_starogo_izvozchika/,
советские песни,утёсов,"сердце, тебе не хочется покоя",леонид,https://amdm.ru/akkordi/leonid_ytesov/89877/kak_mnogo_devushek_horoshih/,
советские песни,утёсов,случайный вальс,леонид,https://www.5lad.ru/akkordy/leonid-utesov/sluchajnyj-vals,
советские песни,утёсов,у чёрного моря,леонид,https://amdm.ru/akkordi/leonid_ytesov/95664/u_chernogo_morya/,
советские песни,утёсов,утомлённое солнце,леонид,http://www.gitaristam.ru/accords/rus/theme/Kino/utomlennoe_solnce.text.htm,
зарубежное,фиджеральд,dream a little dream of me,элла,https://amdm.ru/akkordi/ella_fitzgerald/136230/dream_a_little_dream_of_me/,
советские песни,фрейндлих,у природы нет плохой погоды,алиса,"https://amdm.ru/akkordi/pesni_iz_kino_i_multfilmov/14549/u_prirodi_net_plohoy_pogodi_kf_sluzhebniy_roman/#:~:text=%D0%92%D1%81%D1%82%D1%83%D0%BF%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5%3A%20Em%20Am%20B%20Em,E9%20%D0%92%20%D1%81%D0%B5%D1%80%D0%B4%D1%86%D0%B5%20%D0%BE%D0%B4%D0%B8%D0%BD%D0%BE%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%B0%20%D0%BF%D0%B5%D1%87%D0%B0%D1%82%D1%8C.",
советские песни,френкель,август (скоро осень),ян,https://amdm.ru/akkordi/nina_brodskaya/125408/avgust/,
советские песни,френкель,"журавли (мне кажется порою, что солдаты)",ян,https://amdm.ru/akkordi/voennye_armeyskie_pesni/139374/mne_kazhetsya_poroy_chto_soldati/,
русская поп-музыка,фриске,а на море белый песок,жанна,https://amdm.ru/akkordi/janna_friske/160736/a_na_more_beliy_pesok/,
русская поп-музыка,фриске,где-то летом звёзды нам улыбались,жанна,https://amdm.ru/akkordi/janna_friske/155849/gde_to_letom/,
русский рок,чайф,"бутылка кефира, полбатона",,https://amdm.ru/akkordi/chaif/136559/butilka_kefira_polbatona/,
зарубежное,чарльз,hit the road jack,рэй,https://amdm.ru/akkordi/charles_ray/106641/hit_the_road_jack/,
русский рок,чиж,вечная молодость,,https://amdm.ru/akkordi/chizh/1683/vechnaya_molodost/,
русский рок,чиж,мышка (колыбельная хиппи),,https://amdm.ru/akkordi/chizh/89269/mishka/,
русский рок,чиж,поход (два ангела вперёд),,https://amdm.ru/akkordi/chizh/113338/pohod/,
русский рок,чиж,фантом,,https://amdm.ru/akkordi/chizh/159398/fantom/,
детские песни,шаинский,если с другом вышел в путь,владимир,https://amdm.ru/akkordi/prikluchenia_elektronikov/5465/esli_s_drugom_vishel_v_put/,
детские песни,шаинский,учат в школе,владимир,http://www.notarhiv.ru/detskie/stranizi10/Chemuuchatvshkole.html,
детские песни,шаинский,чунга-чанга ,владимир,https://amdm.ru/akkordi/detskie_pesni/101370/chunga_changa/,
детские песни,шаинский ,вместе весело шагать ,владимир,https://amdm.ru/akkordi/raznye_pesni/23731/vmeste_veselo_shagat/,
русская поп-музыка,шарлот,щека на щеку,,https://amdm.ru/akkordi/sharlot/171245/shcheka_na_shcheku/,
разное,,бублички,,http://akkordbard.ru/poispolnitelem/863-narodnye-pesni/71950-bublichki,
разное,,валенки ,,https://amdm.ru/akkordi/narodnye_i_zastolnye_pesni/90410/valenki/,
советские песни,,вечер на рейде (прощай любимый город),,https://amdm.ru/akkordi/vasiliy_petrovich_vorobjev-sedoy/165397/vecher_na_reyde_avtor_slov_aleksandr_churkin/,
разное,,виновата ли я,,https://amdm.ru/akkordi/narodnye_i_zastolnye_pesni/144691/vinovata_li_ya/,
разное,,вот кто-то с горочки спустился,,"https://amdm.ru/akkordi/narodnye_i_zastolnye_pesni/102334/vot_kto_to_s_gorochki_spustilsya/#:~:text=%D0%B8%20%D0%B7%D0%B0%D1%81%D1%82%D0%BE%D0%BB%D1%8C%D0%BD%D1%8B%D0%B5%20%D0%BF%D0%B5%D1%81%D0%BD%D0%B8-,%D0%9D%D0%B0%D1%80%D0%BE%D0%B4%D0%BD%D1%8B%D0%B5%20%D0%B8%20%D0%B7%D0%B0%D1%81%D1%82%D0%BE%D0%BB%D1%8C%D0%BD%D1%8B%D0%B5%20%D0%BF%D0%B5%D1%81%D0%BD%D0%B8%20%2D%20%D0%92%D0%BE%D1%82%20%D0%BA%D1%82%D0%BE,%D1%82%D0%BE%20%D1%81%20%D0%B3%D0%BE%D1%80%D0%BE%D1%87%D0%BA%D0%B8%20%D1%81%D0%BF%D1%83%D1%81%D1%82%D0%B8%D0%BB%D1%81%D1%8F%2C%20%D0%B0%D0%BA%D0%BA%D0%BE%D1%80%D0%B4%D1%8B&text=Am%20E7%20Am%20E7%20Am,%D0%9E%D0%BD%D0%B0%20%D1%81%20%D1%83%D0%BC%D0%B0%20%D0%BC%D0%B5%D0%BD%D1%8F%20%D1%81%D0%B2%D0%B5%D0%B4%D0%B5%D1%82.",
разное,,за окном черемуха колышется,,https://amdm.ru/akkordi/nadezhda_kadisheva/177647/pod_oknom_cheryomuha_kolishetsya/,
разное,,"каким ты был, таким остался",,"https://amdm.ru/akkordi/narodnye_i_zastolnye_pesni/14279/kakim_ti_bil/#:~:text=A7%20Dm%20Gm%20A7%20Dm,%D0%A7%D1%82%D0%BE%20%D0%BD%D0%B5%D1%82%D1%83%20%D1%81%D0%B8%D0%BB%20%D1%82%D0%B5%D0%B1%D1%8F%20%D0%B7%D0%B0%D0%B1%D1%8B%D1%82%D1%8C.",
разное,,коробейники,,https://amdm.ru/akkordi/narodnye_i_zastolnye_pesni/139487/korobeyniki/,
разное,,крутится вертится шар голубой,,"https://amdm.ru/akkordi/pesni_iz_kino_i_multfilmov/146541/krutitsya_vertitsya_shar_goluboy_kf_trilogiya_o_maksime/#:~:text=%D0%B1%D0%B0%D1%80%D1%8B%D1%88%D0%BD%D1%8E%20%D1%85%D0%BE%D1%87%D0%B5%D1%82%20%D1%83%D0%BA%D1%80%D0%B0%D1%81%D1%82%D1%8C.-,Am%20%D0%9A%D1%80%D1%83%D1%82%D0%B8%D1%82%D1%81%D1%8F%2C%20%D0%B2%D0%B5%D1%80%D1%82%D0%B8%D1%82%D1%81%D1%8F%20%D1%88%D0%B0%D1%80%20%D0%B3%D0%BE%D0%BB%D1%83%D0%B1%D0%BE%D0%B9%2C%20Dm%20Am%20%D0%9A%D1%80%D1%83%D1%82%D0%B8%D1%82%D1%81%D1%8F%2C%20%D0%B2%D0%B5%D1%80%D1%82%D0%B8%D1%82%D1%81%D1%8F,A7%20%D0%91%D0%B0%D1%80%D1%8B%D1%88%D0%BD%D1%8E%20%D0%B2%D0%B8%D0%B4%D0%BD%D0%BE%20%D0%BF%D1%80%D0%B8%D0%B4%D1%91%D1%82%D1%81%D1%8F%20%D1%83%D0%BA%D1%80%D0%B0%D1%81%D1%82%D1%8C.",
разное,,миленький ты мой,,https://amdm.ru/akkordi/narodnye_i_zastolnye_pesni/90482/milenkiy_ti_moy/,
разное,,мой костёр в тумане светит,,https://amdm.ru/akkordi/narodnye_i_zastolnye_pesni/192981/moy_koster_v_tumane_svetit/,
разное,,Москва златоглавая (конфетки бараночки),,https://mytabs.ru/akkordy/v-r/vladimir-troshin/moskva-zlatoglavaya_360862.html,
разное,,мурка,,https://amdm.ru/akkordi/blatnye_pesni/15152/murka/,
разное,,ой то не вечер,,"https://amdm.ru/akkordi/narodnye_i_zastolnye_pesni/166044/oy_to_ne_vecher/#:~:text=Am%20E%20%D0%9E%D0%B9%2C%20%D1%82%D0%BE%20%D0%BD%D0%B5%20%D0%B2%D0%B5%D1%87%D0%B5%D1%80.,%D0%9E%D1%85%2C%20%D0%B4%D0%B0%20%D0%B2%D0%BE%20%D1%81%D0%BD%D0%B5%20%D0%BF%D1%80%D0%B8%D0%B2%D0%B8%D0%B4%D0%B5%D0%BB%D0%BE%D1%81%D1%8C.",
разное,,ой цветёт калина в поле у ручья,,https://amdm.ru/akkordi/narodnye_i_zastolnye_pesni/24295/oy_cvetet_kalina/,
разное,,очи чёрные,,https://www.google.com/search?q=%D0%BE%D1%87%D0%B8+%D1%87%D1%91%D1%80%D0%BD%D1%8B%D0%B5+%D0%B0%D0%BA%D0%BA%D0%BE%D1%80%D0%B4%D1%8B&oq=%D0%BE%D1%87%D1%82+%D1%87%D0%B5%D1%80%D0%BD%D1%8B%D0%B5+&aqs=chrome.3.69i57j46i13i512j0i13i512l2j46i13i512j0i13i512l3j46i13i512j0i13i512l4j0i13i30.5152j0j4&client=ms-android-oppo&sourceid=chrome-mobile&ie=UTF-8,
детские песни,,пусть всегда будет (солнечный круг),,https://amdm.ru/akkordi/raznye_pesni/23538/pust_vsegda_budet_solnce/,
разное,,сулико,,https://amdm.ru/akkordi/kalevala/126484/ti_zh_mene_pidmanula/,
разное,,ты ж мэнэ пидманула,,https://amdm.ru/akkordi/kalevala/126484/ti_zh_mene_pidmanula/,
разное,,цыпленок жареный,,https://amdm.ru/akkordi/andrey_makarevich/123334/ciplyonok_zhareniy/,
разное,,чёрный ворон,,https://amdm.ru/akkordi/narodnye_i_zastolnye_pesni/173363/cherniy_voron/,
